generation,pair_id,parent1_x1,parent1_x2,parent2_x1,parent2_x2,crossover_applied,child1_x1_before_mutation,child1_x2_before_mutation,child1_mutated_gene,child1_mutation_delta,child1_x1,child1_x2,child2_x1_before_mutation,child2_x2_before_mutation,child2_mutated_gene,child2_mutation_delta,child2_x1,child2_x2
91,12,-0.0018468201023286307,0.25022193420394345,-0.0018468201023286307,-0.012747189097307397,True,-0.0018468201023286307,-0.012747189097307397,,,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,0.25022193420394345,,,-0.0018468201023286307,0.25022193420394345
91,13,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,-0.012747189097307397,True,-0.0018468201023286307,-0.012747189097307397,,,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738
91,14,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
91,15,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,-0.012747189097307397,True,-0.0018468201023286307,-0.012747189097307397,,,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,-0.012747189097307397,,,-0.0018468201023286307,-0.012747189097307397
91,16,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,0.004958947112135738,False,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738
91,17,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.004958947112135738,True,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
91,18,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,1.0,0.9211248782372482,-0.0018468201023286307,0.9367722348523394,-0.0018468201023286307,-0.012747189097307397,,,-0.0018468201023286307,-0.012747189097307397
91,19,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.004958947112135738,True,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
91,20,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.004958947112135738,True,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
91,21,-0.0018468201023286307,0.004958947112135738,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.004958947112135738,,,-0.0018468201023286307,0.004958947112135738
91,22,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
91,23,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,-0.012747189097307397,,,-0.0018468201023286307,-0.012747189097307397
91,24,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
91,25,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253
92,1,-0.0018468201023286307,-0.012747189097307397,-0.0018468201023286307,0.015647356615091253,True,-0.0018468201023286307,0.015647356615091253,,,-0.0018468201023286307,0.015647356615091253,-0.0018468201023286307,-0.012747189097307397,0.0,-0.3707990032631991,-0.3726458233655277,-0.012747189097307397
