generation,best_fitness,mean_fitness,worst_fitness,std_fitness,best_x1,best_x2,num_crossovers,num_mutations,best_fitness_so_far
18,0.0659813297404388,0.9049033109936064,3.3598654089448314,0.9194372123557001,-0.0018468201023286307,0.019602851677454458,21,3,0.0659813297404388
19,0.0659813297404388,0.5051963114507498,1.9009808308353127,0.48125385320321545,-0.0018468201023286307,0.019602851677454458,20,1,0.0659813297404388
20,0.0659813297404388,0.4421928196547422,3.2569101798746556,0.6088299834202076,-0.0018468201023286307,0.019602851677454458,17,3,0.0659813297404388
21,0.0659813297404388,0.4097597970618224,2.1930139587661768,0.324595385123726,-0.0018468201023286307,0.019602851677454458,19,3,0.0659813297404388
22,0.0659813297404388,0.5422549295840393,2.854051631617527,0.5640081337758706,-0.0018468201023286307,0.019602851677454458,24,5,0.0659813297404388
23,0.0659813297404388,0.38875208003629835,3.1107604666698205,0.4477314997475048,-0.0018468201023286307,0.019602851677454458,20,1,0.0659813297404388
24,0.0659813297404388,0.35704538609499004,2.5314674140500917,0.39468270947070705,-0.0018468201023286307,0.019602851677454458,18,1,0.0659813297404388
25,0.0659813297404388,0.5245389921393409,3.170041980858198,0.7428505772553672,-0.0018468201023286307,0.019602851677454458,23,5,0.0659813297404388
26,0.0659813297404388,0.32966550466529904,3.218044899705458,0.4767985763492979,-0.0018468201023286307,0.019602851677454458,14,1,0.0659813297404388
27,0.0659813297404388,0.3695926469621662,3.301701190887919,0.6009211387068508,-0.0018468201023286307,0.019602851677454458,15,2,0.0659813297404388
28,0.0659813297404388,0.4639720697103855,3.2098032427909975,0.7570762278974523,-0.0018468201023286307,0.019602851677454458,22,4,0.0659813297404388
29,0.0659813297404388,0.28331885558833997,2.402723119713461,0.36268800258377115,-0.0018468201023286307,0.019602851677454458,17,2,0.0659813297404388
30,0.0659813297404388,0.29097965244962476,3.0827193236374595,0.4439437815006788,-0.0018468201023286307,0.019602851677454458,22,1,0.0659813297404388
31,0.0659813297404388,0.33749884220403004,4.255211135460986,0.7277154334680146,-0.0018468201023286307,0.019602851677454458,22,3,0.0659813297404388
32,0.0659813297404388,0.21385959229389356,3.000956739274827,0.4243143923391716,-0.0018468201023286307,0.019602851677454458,17,2,0.0659813297404388
33,0.0659813297404388,0.22126766899806732,3.2574672509785825,0.46465697935124595,-0.0018468201023286307,0.019602851677454458,17,3,0.0659813297404388
34,0.0659813297404388,0.3274631855373286,3.2237579721268017,0.7401319021006307,-0.0018468201023286307,0.019602851677454458,21,5,0.0659813297404388
35,0.0659813297404388,0.2893381275495441,3.1955750319295047,0.6508604092603988,-0.0018468201023286307,0.019602851677454458,22,3,0.0659813297404388
36,0.0659813297404388,0.08320747046236249,0.11817857577153434,0.024076463065210343,-0.0018468201023286307,0.019602851677454458,20,0,0.0659813297404388
37,0.0659813297404388,0.30195411178919196,3.2543328011138546,0.801150314288046,-0.0018468201023286307,0.019602851677454458,22,4,0.0659813297404388
38,0.0659813297404388,0.17379955020967977,2.929233112939244,0.5276050556537588,-0.0018468201023286307,0.019602851677454458,23,2,0.0659813297404388
39,0.0659813297404388,0.24786775674197103,3.1423289688479845,0.6590867639617607,-0.0018468201023286307,0.019602851677454458,24,3,0.0659813297404388
40,0.0659813297404388,0.2164399158238335,3.170246372483391,0.6164795173579788,-0.0018468201023286307,0.019602851677454458,23,4,0.0659813297404388
41,0.0659813297404388,0.2115049575019411,3.173352759794039,0.5330949376560418,-0.0018468201023286307,0.019602851677454458,22,3,0.0659813297404388
42,0.0659813297404388,0.29063471808301505,2.8459370966436563,0.6792069886385642,-0.0018468201023286307,0.019602851677454458,22,4,0.0659813297404388
43,0.05509309067476709,0.1633944734083036,3.0059188663988086,0.4717580229841685,-0.0018468201023286307,0.016719078586062835,20,4,0.05509309067476709
44,0.05509309067476709,0.06795480412612465,0.10176471680226173,0.007424987524660862,-0.0018468201023286307,0.016719078586062835,19,1,0.05509309067476709
45,0.05116171862174257,0.14228811418397533,1.8141453171830837,0.32650570383375904,-0.0018468201023286307,0.015647356615091253,17,4,0.05116171862174257
46,0.05116171862174257,0.2394789446611381,3.2550167531713794,0.6715513680327201,-0.0018468201023286307,0.015647356615091253,21,4,0.05116171862174257
47,0.05116171862174257,0.2683284578265479,3.06544114642189,0.6957012593722499,-0.0018468201023286307,0.015647356615091253,19,4,0.05116171862174257
48,0.05116171862174257,0.25563180816475023,2.670665949744475,0.5955590928393583,-0.0018468201023286307,0.015647356615091253,21,4,0.05116171862174257
49,0.05116171862174257,0.11838604910646006,1.5429866328798352,0.2710605375965208,-0.0018468201023286307,0.015647356615091253,21,1,0.05116171862174257
50,0.05116171862174257,0.20755119908679262,2.721426556211878,0.5398038328430478,-0.0018468201023286307,0.015647356615091253,22,4,0.05116171862174257
51,0.05116171862174257,0.23887534770644095,3.0337249825918637,0.6103383913234427,-0.0018468201023286307,0.015647356615091253,20,4,0.05116171862174257
52,0.05116171862174257,0.12040787528114137,1.3416884847911246,0.25272071438548466,-0.0018468201023286307,0.015647356615091253,24,1,0.05116171862174257
53,0.05116171862174257,0.1895956394711492,3.166315813997674,0.5933396282648535,-0.0018468201023286307,0.015647356615091253,21,2,0.05116171862174257
54,0.05116171862174257,0.16089961595370306,2.7908699706227265,0.4897468324202023,-0.0018468201023286307,0.015647356615091253,21,2,0.05116171862174257
55,0.05116171862174257,0.10648047057711779,2.3053697942487834,0.31419560319666184,-0.0018468201023286307,0.015647356615091253,23,0,0.05116171862174257
56,0.05116171862174257,0.22156718721214638,3.1046993333784774,0.6467948214995459,-0.0018468201023286307,0.015647356615091253,22,3,0.05116171862174257
57,0.05116171862174257,0.21417726872424417,3.108550606314339,0.5678145410752053,-0.0018468201023286307,0.015647356615091253,23,3,0.05116171862174257
58,0.05116171862174257,0.25519776331894733,2.1226331505703375,0.4727661486630565,-0.0018468201023286307,0.015647356615091253,20,5,0.05116171862174257
59,0.05116171862174257,0.26816594853322956,3.498454845196218,0.5944572864077878,-0.0018468201023286307,0.015647356615091253,18,2,0.05116171862174257
